flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 16, small, 1, 537
131, 8, 16, small, 256, 54470
131, 8, 16, large, 1, 
131, 8, 16, large, 256, 
131, 8, 32, small, 1, 279
131, 8, 32, small, 256, 17573
131, 8, 32, large, 1, 358
131, 8, 32, large, 256, 34754
131, 12, 16, small, 1, 537
131, 12, 16, small, 256, 54470
131, 12, 16, large, 1, 
131, 12, 16, large, 256, 
131, 12, 32, small, 1, 276
131, 12, 32, small, 256, 17451
131, 12, 32, large, 1, 351
131, 12, 32, large, 256, 34828
131, 16, 16, small, 1, 545
131, 16, 16, small, 256, 54470
131, 16, 16, large, 1, 
131, 16, 16, large, 256, 
131, 16, 32, small, 1, 275
131, 16, 32, small, 256, 17499
131, 16, 32, large, 1, 367
131, 16, 32, large, 256, 34828
195, 8, 16, small, 1, 531
195, 8, 16, small, 256, 54463
195, 8, 16, large, 1, 
195, 8, 16, large, 256, 
195, 8, 32, small, 1, 226
195, 8, 32, small, 256, 15046
195, 8, 32, large, 1, 293
195, 8, 32, large, 256, 34647
195, 12, 16, small, 1, 531
195, 12, 16, small, 256, 54471
195, 12, 16, large, 1, 
195, 12, 16, large, 256, 
195, 12, 32, small, 1, 216
195, 12, 32, small, 256, 14997
195, 12, 32, large, 1, 296
195, 12, 32, large, 256, 34678
195, 16, 16, small, 1, 539
195, 16, 16, small, 256, 54474
195, 16, 16, large, 1, 
195, 16, 16, large, 256, 
195, 16, 32, small, 1, 223
195, 16, 32, small, 256, 14977
195, 16, 32, large, 1, 299
195, 16, 32, large, 256, 34650
323, 8, 16, small, 1, 529
323, 8, 16, small, 256, 54461
323, 8, 16, large, 1, 
323, 8, 16, large, 256, 
323, 8, 32, small, 1, 239
323, 8, 32, small, 256, 15010
323, 8, 32, large, 1, 290
323, 8, 32, large, 256, 34645
323, 12, 16, small, 1, 537
323, 12, 16, small, 256, 54469
323, 12, 16, large, 1, 
323, 12, 16, large, 256, 
323, 12, 32, small, 1, 239
323, 12, 32, small, 256, 15007
323, 12, 32, large, 1, 290
323, 12, 32, large, 256, 34645
323, 16, 16, small, 1, 529
323, 16, 16, small, 256, 54474
323, 16, 16, large, 1, 
323, 16, 16, large, 256, 
323, 16, 32, small, 1, 218
323, 16, 32, small, 256, 15023
323, 16, 32, large, 1, 290
323, 16, 32, large, 256, 34673
flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 4, 16, small, 1, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 16, large, 1, 
131, 8, 16, large, 256, 
131, 12, 16, large, 1, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 16, large, 1, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 16, large, 1, 
131, 8, 16, large, 256, flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 16, large, 1, 760
131, 8, 16, large, 256, 79399
131, 12, 16, large, 1, 760
