id, noc_id, src, dest, dataw, hops, t_init, t_packet, t_inject, t_eject, t_depacket, t_receive, latency
1232, 0, 14, 12, 512, 3, 11465, 11470, 11467, 11486, 11490, 11495, 30
1231, 0, 14, 12, 512, 3, 11460, 11465, 11462, 11481, 11485, 11490, 30
1230, 0, 14, 12, 512, 3, 11455, 11460, 11457, 11476, 11480, 11485, 30
1229, 0, 14, 12, 512, 3, 11450, 11455, 11452, 11471, 11475, 11480, 30
1228, 0, 14, 12, 512, 3, 11445, 11450, 11447, 11464, 11470, 11475, 30
1227, 0, 14, 12, 512, 3, 11440, 11445, 11442, 11459, 11465, 11470, 30
1226, 0, 14, 12, 512, 3, 11435, 11440, 11437, 11453, 11457.5, 11465, 30
1225, 0, 14, 12, 512, 3, 11430, 11435, 11432, 11448, 11452.5, 11460, 30
1224, 0, 10, 14, 512, 2, 11300, 11305, 11302, 11316, 11320, 11325, 25
1223, 0, 10, 14, 512, 2, 11295, 11300, 11297, 11311, 11315, 11320, 25
1222, 0, 10, 14, 512, 2, 11290, 11295, 11292, 11306, 11310, 11315, 25
1221, 0, 10, 14, 512, 2, 11285, 11290, 11287, 11301, 11305, 11310, 25
1220, 0, 10, 14, 512, 2, 11280, 11285, 11282, 11295, 11300, 11305, 25
1219, 0, 10, 14, 512, 2, 11275, 11280, 11277, 11290, 11295, 11300, 25
1218, 0, 10, 14, 512, 2, 11270, 11275, 11272, 11284, 11288.8, 11295, 25
1217, 0, 10, 14, 512, 2, 11265, 11270, 11267, 11279, 11283.8, 11290, 25
1216, 0, 8, 14, 512, 4, 10890, 10895, 10892, 10912, 10916.2, 10925, 35
1215, 0, 8, 10, 512, 3, 10885, 10890, 10887, 10903, 10907.5, 10915, 30
1214, 0, 8, 14, 512, 4, 10880, 10885, 10882, 10902, 10906.2, 10915, 35
1213, 0, 8, 10, 512, 3, 10875, 10880, 10877, 10893, 10897.5, 10905, 30
1212, 0, 8, 14, 512, 4, 10870, 10875, 10872, 10892, 10896.2, 10905, 35
1211, 0, 8, 10, 512, 3, 10865, 10870, 10867, 10883, 10887.5, 10895, 30
