id, noc_id, src, dest, dataw, hops, t_init, t_packet, t_inject, t_eject, t_depacket, t_receive, latency
1232, 0, 14, 1, 512, 5, 11820, 11825, 11822, 11851, 11855, 11860, 40
1231, 0, 14, 1, 512, 5, 11810, 11815, 11812, 11841, 11845, 11850, 40
1230, 0, 14, 1, 512, 5, 11800, 11805, 11802, 11831, 11835, 11840, 40
1229, 0, 14, 1, 512, 5, 11790, 11795, 11792, 11821, 11825, 11830, 40
1228, 0, 14, 1, 512, 5, 11780, 11785, 11782, 11811, 11815, 11820, 40
1227, 0, 14, 1, 512, 5, 11770, 11775, 11772, 11801, 11805, 11810, 40
1226, 0, 14, 1, 512, 5, 11760, 11765, 11762, 11791, 11795, 11800, 40
1225, 0, 14, 1, 512, 5, 11750, 11755, 11752, 11781, 11785, 11790, 40
1224, 0, 9, 14, 512, 3, 11650, 11655, 11652, 11671, 11675, 11680, 30
1223, 0, 9, 14, 512, 3, 11640, 11645, 11642, 11661, 11665, 11670, 30
1222, 0, 9, 14, 512, 3, 11630, 11635, 11632, 11651, 11655, 11660, 30
1221, 0, 9, 14, 512, 3, 11620, 11625, 11622, 11641, 11645, 11650, 30
1220, 0, 9, 14, 512, 3, 11610, 11615, 11612, 11631, 11635, 11640, 30
1219, 0, 9, 14, 512, 3, 11600, 11605, 11602, 11621, 11625, 11630, 30
1218, 0, 9, 14, 512, 3, 11590, 11595, 11592, 11611, 11615, 11620, 30
1217, 0, 9, 14, 512, 3, 11580, 11585, 11582, 11601, 11605, 11610, 30
1216, 0, 13, 14, 512, 2, 11285, 11290, 11287, 11301, 11305, 11310, 25
1215, 0, 13, 9, 512, 2, 11275, 11280, 11277, 11291, 11295, 11300, 25
1214, 0, 13, 14, 512, 2, 11265, 11270, 11267, 11281, 11285, 11290, 25
1213, 0, 13, 9, 512, 2, 11255, 11260, 11257, 11271, 11275, 11280, 25
1212, 0, 13, 14, 512, 2, 11245, 11250, 11247, 11261, 11265, 11270, 25
1211, 0, 13, 9, 512, 2, 11235, 11240, 11237, 11251, 11255, 11260, 25
1210, 0, 13, 14, 512, 2, 11225, 11230, 11227, 11241, 11245, 11250, 25
1209, 0, 13, 9, 512, 2, 11215, 11220, 11217, 11231, 11235, 11240, 25
1208, 0, 13, 14, 512, 2, 11205, 11210, 11207, 11221, 11225, 11230, 25
1207, 0, 13, 9, 512, 2, 11195, 11200, 11197, 11211, 11215, 11220, 25
1206, 0, 13, 14, 512, 2, 11185, 11190, 11187, 11201, 11205, 11210, 25
1205, 0, 13, 9, 512, 2, 11175, 11180, 11177, 11191, 11195, 11200, 25
1204, 0, 13, 14, 512, 2, 11165, 11170, 11167, 11181, 11185, 11190, 25
1203, 0, 13, 9, 512, 2, 11155, 11160, 11157, 11171, 11175, 11180, 25
1202, 0, 13, 14, 512, 2, 11145, 11150, 11147, 11161, 11165, 11170, 25
1201, 0, 13, 9, 512, 2, 11135, 11140, 11137, 11151, 11155, 11160, 25
1200, 0, 4, 13, 512, 4, 11110, 11115, 11112, 11136, 11140, 11145, 35
1199, 0, 4, 13, 512, 4, 11100, 11105, 11102, 11126, 11130, 11135, 35
1198, 0, 4, 13, 512, 4, 11090, 11095, 11092, 11116, 11120, 11125, 35
